AncientGreek.conllu
10	655
2	63
3	144
4	254
5	411
6	670
7	948
8	996
9	848
11	561
12	492
13	503
14	535
15	517
16	512
17	445
18	327
19	321
20	237
21	234
22	207
23	175
AncientGreekPROIEL.conllu
1	178
10	802
2	424
3	747
4	983
5	1016
6	1013
7	947
8	904
9	836
11	713
12	691
13	582
14	528
15	508
16	403
17	372
18	343
19	310
20	298
21	245
22	208
23	184
24	176
25	158
26	141
27	134
28	103
29	96
30	85
31	70
32	60
33	71
34	50
35	51
36	36
37	46
38	28
39	29
40	25
41	18
42	22
43	15
44	18
45	20
46	13
47	10
48	8
49	14
50	11
51	6
52	6
53	12
54	3
55	6
56	7
57	8
58	6
59	7
60	1
61	3
62	3
63	2
64	3
65	1
66	3
67	4
69	1
71	1
72	1
76	1
77	1
78	1
79	2
80	1
81	1
83	2
85	1
86	1
89	1
91	1
105	2
124	1
130	1
143	1
165	1
Arabic.conllu
1	40
10	123
2	56
3	128
4	42
5	58
6	125
7	92
8	104
9	121
11	118
12	99
13	108
14	81
15	78
16	84
17	84
18	83
19	84
20	102
AriabicNYUAD.conllu
1	10
10	202
11	213
12	190
13	231
14	221
15	235
16	264
17	260
18	274
19	262
2	91
20	290
3	138
4	198
5	109
6	189
7	230
8	213
9	194
21	325
22	294
23	329
24	328
25	305
26	319
27	335
28	285
29	330
30	356
31	341
32	288
33	338
Basque.conllu
10	381
3	31
4	105
5	211
6	250
7	346
8	349
9	362
11	348
12	320
13	334
14	317
15	268
16	228
17	249
Belarusian.conllu
10	9
11	15
3	1
4	1
5	2
6	3
7	11
8	8
9	6
12	8
13	7
14	8
15	2
16	11
17	10
18	5
19	8
Bulgarian.conllu
1	40
10	478
11	505
2	115
3	143
4	253
5	426
6	532
7	542
8	522
9	527
12	465
13	435
14	425
15	368
16	354
17	312
18	287
19	245
20	259
21	203
22	203
23	178
24	151
25	117
26	117
Catalan.conllu
10	222
11	219
12	215
13	239
14	224
15	279
16	270
17	290
18	309
19	316
2	9
3	37
4	65
5	101
6	111
7	134
8	126
9	174
20	296
21	306
22	317
23	311
24	340
25	322
26	350
27	331
28	342
29	313
30	316
Chinese.conllu
10	115
11	109
12	129
13	148
14	165
15	166
16	217
4	1
7	7
8	31
9	65
17	180
18	169
19	153
20	146
21	148
22	144
23	144
24	124
Coptic.conllu
10	6
11	8
12	4
13	7
14	7
15	3
16	8
18	9
19	11
6	1
7	1
8	6
9	3
20	3
21	13
22	8
23	8
24	10
25	9
26	10
27	5
28	11
Croatian.conllu
1	2
10	224
11	249
12	257
13	270
14	287
15	289
16	292
17	312
2	15
3	23
4	49
5	80
6	138
7	172
8	202
9	228
18	276
19	283
20	285
21	280
22	251
23	255
24	223
25	238
26	213
27	185
28	194
29	199
30	145
31	146
Czech.conllu
1	554
10	2491
11	2651
12	2575
13	2532
14	2574
15	2658
2	2699
3	1798
4	2017
5	2532
6	2002
7	2235
8	2332
9	2446
16	2509
17	2483
18	2527
19	2343
20	2149
21	2068
22	1941
23	1799
24	1696
25	1488
26	1395
27	1293
28	1162
29	1056
30	930
31	816
32	761
33	678
34	585
35	510
36	447
37	402
38	386
39	336
40	304
41	276
42	276
43	171
44	183
45	140
46	130
47	129
48	117
49	85
50	98
51	81
52	74
53	61
54	53
55	41
56	48
57	38
58	31
CzechCAC.conllu
10	921
11	946
12	926
13	1004
2	181
3	324
4	256
5	457
6	588
7	727
8	822
9	932
14	923
15	952
16	924
17	898
18	859
19	803
20	789
21	734
22	728
23	638
CzechCLTT.conllu
1	1
10	8
11	5
12	4
13	9
14	11
15	13
2	68
3	5
4	4
5	4
6	3
7	5
9	9
16	9
17	6
18	4
19	9
20	10
21	9
22	11
23	11
24	6
25	10
26	14
27	8
28	9
29	7
30	7
31	8
32	6
33	8
Danish.conllu
1	63
10	183
11	169
12	187
2	98
3	93
4	92
5	108
6	133
7	146
8	158
9	173
13	178
14	166
15	172
16	138
17	134
18	146
19	134
20	152
21	129
22	127
23	108
24	101
Dutch.conllu
1	4
10	697
2	83
3	207
4	444
5	640
6	742
7	934
8	815
9	754
11	585
12	502
13	434
14	411
15	415
16	384
17	376
18	329
19	283
20	293
21	262
22	247
23	225
24	214
25	206
26	171
DutchLassySmall.conllu
1	466
10	194
11	216
2	396
3	213
4	383
5	286
6	268
7	273
8	217
9	215
12	204
13	206
14	195
15	189
16	156
17	160
18	154
19	153
20	128
21	133
22	155
23	126
24	101
25	56
26	74
27	72
28	74
29	45
30	74
31	53
32	35
33	41
34	35
35	27
36	21
37	30
38	28
39	20
40	26
41	12
42	14
43	7
44	14
45	11
46	11
47	5
48	6
49	10
50	4
51	3
52	2
53	4
54	3
55	1
56	3
57	3
58	5
59	2
61	4
62	1
64	1
66	2
67	2
68	3
69	1
70	1
71	1
72	1
73	1
87	1
88	1
97	2
133	1
English.conllu
1	521
10	471
11	489
2	622
3	492
4	370
5	419
6	446
7	435
8	429
9	454
12	475
13	420
14	438
15	444
16	408
17	379
18	373
19	351
20	355
21	301
22	313
23	315
24	257
25	210
26	218
EnglishLinES.conllu
1	4
10	140
2	15
3	31
4	55
5	77
6	95
7	119
8	103
9	134
11	121
12	124
13	95
14	108
15	110
16	106
17	124
EnglishParTUT.conllu
10	22
11	20
12	28
13	45
14	39
15	45
16	39
17	45
2	1
3	3
4	7
5	15
6	12
7	16
8	14
9	20
18	41
19	32
20	41
21	48
22	39
23	48
24	32
25	27
26	33
27	30
Estonian.conllu
1	6
10	99
2	20
3	67
4	198
5	340
6	307
7	236
8	174
9	132
11	77
12	79
13	53
14	47
15	56
16	45
17	39
18	35
19	25
20	22
21	17
22	18
23	25
24	13
25	16
26	14
27	13
28	12
29	7
30	15
31	10
32	5
33	8
34	4
35	7
36	3
37	3
38	2
39	2
41	1
42	1
43	1
44	3
46	2
48	1
50	1
63	1
69	1
Finnish.conllu
1	63
10	750
2	267
3	314
4	438
5	571
6	696
7	773
8	734
9	752
11	733
12	725
13	636
14	594
15	533
16	465
17	422
18	358
19	353
20	267
21	228
22	207
FinnishFTB.conllu
1	6
10	931
2	898
3	1059
4	1349
5	1470
6	1482
7	1344
8	1159
9	1002
11	790
12	680
13	553
14	477
15	397
16	325
17	255
18	167
19	155
20	102
21	86
22	59
23	53
24	36
25	23
26	19
27	11
28	17
29	16
30	9
31	8
32	7
33	5
34	4
35	1
36	2
37	1
38	3
39	4
40	1
42	1
43	1
44	1
45	1
47	1
48	2
51	1
52	1
57	2
60	1
61	1
66	1
68	1
French.conllu
10	395
11	436
12	495
13	487
14	546
15	535
16	479
17	533
18	567
2	2
3	11
4	29
5	97
6	155
7	208
8	287
9	334
19	505
20	564
21	509
22	484
23	466
24	430
25	402
26	381
27	390
28	381
29	319
30	325
31	286
32	261
FrenchParTUT.conllu
10	2
11	8
12	9
13	4
14	4
15	6
16	1
17	4
18	6
19	11
2	1
3	1
4	1
5	1
7	3
8	6
9	2
20	9
21	6
22	10
23	13
24	4
25	4
26	9
27	9
28	4
29	3
FrenchSequoia.conllu
1	57
10	47
11	58
12	49
13	55
14	68
15	62
16	65
17	76
2	85
3	74
4	52
5	55
6	59
7	38
8	68
9	50
18	59
19	48
20	54
21	56
22	51
23	44
24	47
25	46
26	53
27	46
28	33
29	42
30	40
31	26
32	33
33	32
34	35
35	30
36	31
37	25
38	31
39	17
40	18
41	30
42	17
43	17
44	21
45	19
46	19
Galician.conllu
15	2
16	1
17	2
18	1
19	8
2	1
20	9
3	3
7	1
21	19
22	31
GalicianTreeGal.conllu
10	4
11	11
2	6
3	2
4	2
5	5
6	2
7	5
8	8
9	7
12	4
13	6
14	6
15	7
16	2
17	7
18	5
19	6
20	3
21	4
22	5
German.conllu
10	615
11	690
12	672
13	654
14	687
15	671
16	708
2	15
3	43
4	71
5	144
6	276
7	374
8	485
9	582
17	642
18	616
19	552
20	552
21	478
22	466
23	421
24	351
25	338
26	346
27	265
28	266
29	239
30	215
31	183
32	169
33	140
34	130
35	132
36	92
37	103
Gothic.conllu
1	45
10	189
2	135
3	261
4	291
5	297
6	270
7	249
8	236
9	211
11	142
12	145
13	121
14	106
15	92
16	89
17	66
18	53
19	52
20	42
21	39
22	26
23	23
24	22
25	24
26	20
27	14
28	9
29	7
30	19
31	7
32	5
33	11
34	3
35	6
36	5
37	4
38	2
39	3
40	5
41	3
44	2
45	3
46	4
47	2
48	2
49	4
52	3
54	2
57	1
58	2
59	2
60	1
61	1
63	1
70	1
71	1
78	1
82	1
94	1
105	1
106	1
165	1
Greek.conllu
1	30
10	39
11	50
12	46
13	39
14	44
15	41
16	45
17	54
18	49
19	49
2	1
20	55
3	11
4	23
5	14
6	22
7	28
8	45
9	36
21	48
22	32
23	47
24	52
25	43
26	51
27	46
28	42
29	41
30	36
31	33
32	47
33	28
34	36
35	28
36	27
37	32
38	22
39	29
40	21
Hebrew.conllu
1	2
10	104
11	126
12	134
13	139
14	173
15	181
16	152
17	145
18	166
19	155
2	17
20	183
3	12
4	35
5	56
6	79
7	86
8	99
9	101
21	153
22	161
23	154
24	146
25	164
26	124
27	141
28	139
29	105
30	120
31	111
32	119
33	96
34	105
35	86
36	85
37	91
38	64
Hindi.conllu
1	1
10	417
11	512
12	579
13	591
14	645
15	691
2	1
3	21
4	5
5	21
6	68
7	156
8	211
9	307
16	620
17	670
18	631
19	560
20	581
21	535
22	514
23	513
Hungarian.conllu
10	28
11	40
12	30
13	40
14	22
15	41
2	2
3	5
4	5
5	15
6	14
7	29
8	20
9	28
16	27
17	31
18	35
19	38
20	29
